image,model,gold_pos,gold,hypothese,art,kontext,zeichen_ops,n_modelle,verschiebung,typ_vorschlag,regel,typ,bemerkung
anzeige01,anthropic_claude-haiku-4-5-20251001,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,,E,block-ausgelassen,E,
anzeige01,anthropic_claude-haiku-4-5-20251001,6,„AUŠRA“,"„AUŠRA""",Substitution,Likör- und Schnaps-Fabrik [[„AUŠRA“]] Telegr.-Adr.: Aušra Kaunas,"“->""",1,,,,,
anzeige01,anthropic_claude-haiku-4-5-20251001,29,Liköre:,Likore:,Substitution,Subrowka Rjebinowka Pfeffer [[Liköre:]] Klumpakojis (Kirsch) Suktine,ö->o,1,,D,nur-diakritika,,
anzeige01,anthropic_claude-sonnet-5,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,anzeige01/anthropic_claude-sonnet-5#1,B,verschiebung,B,Verschiebung: Block steht an anderer Stelle
anzeige01,anthropic_claude-sonnet-5,16,,"FABRIKO ŽENKLAS ""AUŠRA""",Einfuegung,"(Bažnyčio g. 1) [[∅]] Aquavit zu 40,","eingefuegt: FABRIKO ŽENKLAS ""AUŠRA""",1,anzeige01/anthropic_claude-sonnet-5#1,B,verschiebung,,
anzeige01,deepseek-ocr_3b,0,FABRIKO ŽENKLAS „AUŠRA“,,Loeschung,[[FABRIKO ŽENKLAS „AUŠRA“]] Likör- und Schnaps-Fabrik,geloescht: FABRIKO ŽENKLAS „AUŠRA“,9,,E,block-ausgelassen,E,
anzeige01,deepseek-ocr_3b,6,„AUŠRA“,„AUSRA“,Substitution,Likör- und Schnaps-Fabrik [[„AUŠRA“]] Telegr.-Adr.: Aušra Kaunas,Š->S,1,,D,nur-diakritika,D,
anzeige01,deepseek-ocr_3b,8,Aušra,Ausra,Substitution,"Schnaps-Fabrik „AUŠRA“ Telegr.-Adr.: [[Aušra]] Kaunas Kaunas, Kirchenstrasse",š->s,1,,D,nur-diakritika,D,
anzeige01,gemma4_e4b,0,FABRIKO ŽENKLAS,Likor- und Schnaps-Fabrik,Substitution,[[FABRIKO ŽENKLAS]] „AUŠRA“ Likör- und,∅->L ∅->i ∅->k F->o A->r B->- R->  I->u K->n O->d ∅->S ∅->c ∅->h ∅->n ∅->a ∅->p ∅->s Ž->- E->F N->a K->b L->r A->i S->k,1,,,,B,Alignment-Artefakt derselben Verschiebung wie die Folgezeile
anzeige01,gemma4_e4b,3,Likör- und Schnaps-Fabrik „AUŠRA“ Telegr.-Adr.:,FABRIKO ŽENKLAS AUŠRA Teleg.-Adr.:,Substitution,"FABRIKO ŽENKLAS „AUŠRA“ [[Likör- und Schnaps-Fabrik „AUŠRA“ Telegr.-Adr.:]] Aušra Kaunas Kaunas,",L->F i->A k->B ö->R r->I -->K  ->O u->∅ n->∅ d->∅ S->Ž c->E h->N n->K a->L p->A s->S -->∅ F->∅ a->∅ b->∅ r->∅ i->∅ k->∅ „->∅ “->∅ r->∅,1,,,,B,"Gegenstueck zur verschobenen Logo-Inschrift; ein Fehler, zwei Zeilen"
