model,image,stufe,cer_jiwer,wer_jiwer,cer_dinglehopper,wer_dinglehopper,S,D,I,N,dedupliziert
deepseek-ocr_3b,test,roh,0.1635,0.9286,0.1635,0.1795,12,1,39,318,False
deepseek-ocr_3b,test,norm,0.0346,0.1538,0.0346,0.1538,8,1,2,318,False
gemma4_e4b,test,roh,0.0314,0.4286,0.0314,0.0769,5,2,3,318,False
gemma4_e4b,test,norm,0.0189,0.1026,0.0189,0.0769,4,2,0,318,False
glm-ocr_bf16,test,roh,0.0252,0.3571,0.0252,0.0769,1,2,5,318,False
glm-ocr_bf16,test,norm,0.0157,0.1538,0.0157,0.0769,1,2,2,318,False
maternion_lightonocr-2_1b,test,roh,0.1195,0.9286,0.1195,0.0769,3,2,33,318,False
maternion_lightonocr-2_1b,test,norm,0.0157,0.0769,0.0157,0.0769,3,2,0,318,False
minicpm-v4.5_8b,test,roh,0.0252,0.2143,0.0252,0.1026,5,3,0,318,False
minicpm-v4.5_8b,test,norm,0.022,0.1026,0.022,0.1026,4,3,0,318,False
qwen3-vl_4b,test,roh,0.0252,0.3214,0.0252,0.0769,4,1,3,318,False
qwen3-vl_4b,test,norm,0.0189,0.1538,0.0189,0.0769,2,1,3,318,False
qwen3.5_4b,test,roh,0.0157,0.1786,0.0157,0.0513,4,1,0,318,False
qwen3.5_4b,test,norm,0.0126,0.0769,0.0126,0.0513,3,1,0,318,False
