model,image,stufe,cer_jiwer,wer_jiwer,cer_dinglehopper,wer_dinglehopper,S,D,I,N,wiederholungen,artefakt_zeichen,artefakt_anteil
anthropic_claude-opus-5,anzeige01,roh,0.0166,0.36,0.0166,0.0,0,0,5,301,1,0,0.0
anthropic_claude-opus-5,anzeige01,norm,0.0,0.0,0.0,0.0,0,0,0,297,1,0,0.0
anthropic_claude-sonnet-5,anzeige01,roh,0.1827,0.52,0.1827,0.15,0,25,30,301,1,0,0.0
anthropic_claude-sonnet-5,anzeige01,norm,0.1616,0.1579,0.1616,0.15,0,24,24,297,1,0,0.0
deepseek-ocr_3b,anzeige01,roh,0.2824,0.8,0.2824,0.125,15,12,58,301,1,68,0.1994
deepseek-ocr_3b,anzeige01,norm,0.0875,0.1316,0.0875,0.125,2,24,0,297,1,68,0.1994
gemma4_e4b,anzeige01,roh,0.1694,0.24,0.1694,0.2,1,26,24,301,1,0,0.0
gemma4_e4b,anzeige01,norm,0.1616,0.2105,0.1616,0.2,1,25,22,297,1,0,0.0
glm-ocr_bf16,anzeige01,roh,0.0897,0.12,0.0897,0.075,1,25,1,301,1,0,0.0
glm-ocr_bf16,anzeige01,norm,0.0875,0.1053,0.0875,0.075,1,24,1,297,1,0,0.0
google_gemini-3-5-flash,anzeige01,roh,0.01,0.08,0.01,0.0,2,1,0,301,1,0,0.0
google_gemini-3-5-flash,anzeige01,norm,0.0067,0.0263,0.0067,0.0,2,0,0,297,1,0,0.0
maternion_lightonocr-2_1b,anzeige01,roh,1.5183,2.12,1.5183,1.675,21,0,436,301,1,439,0.6166
maternion_lightonocr-2_1b,anzeige01,norm,0.0808,0.0789,0.0808,0.075,0,24,0,297,1,439,0.6166
minicpm-v4.5_8b,anzeige01,roh,0.1694,0.44,0.1694,0.175,0,28,23,301,1,0,0.0
minicpm-v4.5_8b,anzeige01,norm,0.1582,0.1842,0.1582,0.175,0,24,23,297,1,0,0.0
openai_gpt-5-6-sol,anzeige01,roh,0.196,0.36,0.196,0.2,1,25,33,301,1,7,0.023
openai_gpt-5-6-sol,anzeige01,norm,0.1684,0.2368,0.1684,0.2,1,24,25,297,1,7,0.023
qwen3-vl_4b-instruct,anzeige01,roh,0.093,0.32,0.093,0.075,0,28,0,301,1,0,0.0
qwen3-vl_4b-instruct,anzeige01,norm,0.0808,0.0789,0.0808,0.075,0,24,0,297,1,0,0.0
qwen3-vl_8b-instruct,anzeige01,roh,0.0831,0.08,0.0831,0.075,0,25,0,301,1,0,0.0
qwen3-vl_8b-instruct,anzeige01,norm,0.0808,0.0789,0.0808,0.075,0,24,0,297,1,0,0.0
qwen3.5_4b,anzeige01,roh,0.0831,0.08,0.0831,0.075,0,25,0,301,1,0,0.0
qwen3.5_4b,anzeige01,norm,0.0808,0.0789,0.0808,0.075,0,24,0,297,1,0,0.0
