model,image,stufe,cer_jiwer,wer_jiwer,cer_dinglehopper,wer_dinglehopper,S,D,I,N,dedupliziert
deepseek-ocr_3b,test,roh,0.1478,0.9643,0.1478,0.2051,11,3,33,318,False
deepseek-ocr_3b,test,norm,0.0377,0.1795,0.0377,0.1795,5,3,4,318,False
gemma4_e4b,test,roh,0.0818,0.3929,0.0818,0.1538,4,20,2,318,False
gemma4_e4b,test,norm,0.0755,0.2308,0.0755,0.1538,3,21,0,318,False
glm-ocr_latest,test,roh,1.0943,1.5714,1.0943,1.1538,2,1,345,318,False
glm-ocr_latest,test,norm,0.022,0.2051,0.022,0.1282,2,2,3,318,True
maternion_lightonocr-2_1b,test,roh,0.1195,0.9286,0.1195,0.0769,3,2,33,318,False
maternion_lightonocr-2_1b,test,norm,0.0157,0.0769,0.0157,0.0769,3,2,0,318,False
medgemma_4b,test,roh,0.0975,0.8929,0.1006,0.1282,12,2,17,318,False
medgemma_4b,test,norm,0.0566,0.1538,0.0566,0.1282,11,2,5,318,False
minicpm-v4.5_8b,test,roh,0.022,0.1429,0.022,0.1026,5,1,1,318,False
minicpm-v4.5_8b,test,norm,0.022,0.1026,0.022,0.1026,5,1,1,318,False
qwen3-vl_2b,test,roh,0.0346,0.2857,0.0346,0.1282,5,2,4,318,False
qwen3-vl_2b,test,norm,0.0283,0.1282,0.0283,0.1282,3,2,4,318,False
qwen3-vl_4b,test,roh,0.0346,0.5,0.0346,0.0769,4,1,6,318,False
qwen3-vl_4b,test,norm,0.0189,0.1538,0.0189,0.0769,2,1,3,318,False
