image,model,gold,hypothese,art,zeichen_ops,typ,bemerkung
test,deepseek-ocr_3b,Müllereimaschinen,Müllereimadhinen,Substitution,s->d c->∅,,
test,deepseek-ocr_3b,Maschinenfabrik,Mafchinenfabrik,Substitution,s->f,,
test,deepseek-ocr_3b,Königsberg,Königseberg,Substitution,∅->e,,
test,deepseek-ocr_3b,Telegramm-Adresse:,Telegramm-Ordreffe:,Substitution,∅->O A->r s->f s->f,,
test,deepseek-ocr_3b,Kowno,Aonno,Substitution,K->A w->n,,
test,deepseek-ocr_3b,g-vė,g-vé,Substitution,ė->é,,
test,gemma4_e4b,Kowno,Rowno,Substitution,K->R,,
test,gemma4_e4b,Telephon,Telefon,Substitution,p->f h->∅,,
test,gemma4_e4b,:—:,:-,Substitution,—->- :->∅,,
test,gemma4_e4b,g-vė,g-vé,Substitution,ė->é,,
test,glm-ocr_bf16,Mühlen-Neu-,Mühlen - Neu-,Substitution,∅->  ∅-> ,,
test,glm-ocr_bf16,Müllereimaschinen,Müllereimachinen,Substitution,s->∅,,
test,glm-ocr_bf16,Maschinenfabrik,Machinenfabrik,Substitution,s->∅,,
test,glm-ocr_bf16,g-vė,g-vé,Substitution,ė->é,,
test,maternion_lightonocr-2_1b,Müllereimaschinen,Müllereimachines,Substitution,s->∅ n->s,,
test,maternion_lightonocr-2_1b,Telephon,Telefon,Substitution,p->f h->∅,,
test,maternion_lightonocr-2_1b,g-vė,g-vé,Substitution,ė->é,,
test,minicpm-v4.5_8b,Müllereimaschinen,Mühleremachinen,Substitution,l->h i->∅ s->∅,,
test,minicpm-v4.5_8b,Maschinenfabrik,Mashinenfabrik,Substitution,c->∅,,
test,minicpm-v4.5_8b,Kowno,Romno,Substitution,K->R w->m,,
test,minicpm-v4.5_8b,g-vė,g-vé,Substitution,ė->é,,
test,qwen3-vl_4b,Mühlen-Neu-,Mühlen - Neu-,Substitution,∅->  ∅-> ,,
test,qwen3-vl_4b,Müllereimaschinen,Müllereimmaschinen,Substitution,∅->m,,
test,qwen3-vl_4b,Telephon,Telefon,Substitution,p->f h->∅,,
test,qwen3-vl_4b,g-vė,g-vé,Substitution,ė->é,,
test,qwen3.5_4b,Telephon,Telefon,Substitution,p->f h->∅,,
test,qwen3.5_4b,:—:,:-:,Substitution,—->-,,
test,qwen3.5_4b,g-vė,g-vé,Substitution,ė->é,,
