model,model_reported,image,prompt_id,done_reason,prompt_eval_count,eval_count,seconds,output_path,raw_path
qwen3-vl:4b-instruct,qwen3-vl:4b-instruct,anzeige01.png,P-GEN-01,stop,2561.0,133.0,170.5,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__qwen3-vl_4b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__qwen3-vl_4b-instruct.json
qwen3-vl:4b-instruct,qwen3-vl:4b-instruct,anzeige02.png,P-GEN-01,stop,1196.0,207.0,77.6,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__qwen3-vl_4b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__qwen3-vl_4b-instruct.json
qwen3-vl:4b-instruct,qwen3-vl:4b-instruct,anzeige03.png,P-GEN-01,stop,1353.0,178.0,80.4,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__qwen3-vl_4b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__qwen3-vl_4b-instruct.json
qwen3-vl:4b-instruct,qwen3-vl:4b-instruct,anzeige04.png,P-GEN-01,stop,1328.0,225.0,83.6,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__qwen3-vl_4b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__qwen3-vl_4b-instruct.json
qwen3-vl:4b-instruct,qwen3-vl:4b-instruct,anzeige05.png,P-GEN-01,stop,2321.0,98.0,145.4,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__qwen3-vl_4b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__qwen3-vl_4b-instruct.json
qwen3-vl:8b-instruct,qwen3-vl:8b-instruct,anzeige01.png,P-GEN-01,stop,2561.0,133.0,283.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__qwen3-vl_8b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__qwen3-vl_8b-instruct.json
qwen3-vl:8b-instruct,qwen3-vl:8b-instruct,anzeige02.png,P-GEN-01,stop,1196.0,205.0,124.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__qwen3-vl_8b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__qwen3-vl_8b-instruct.json
qwen3-vl:8b-instruct,qwen3-vl:8b-instruct,anzeige03.png,P-GEN-01,stop,1353.0,178.0,136.3,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__qwen3-vl_8b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__qwen3-vl_8b-instruct.json
qwen3-vl:8b-instruct,qwen3-vl:8b-instruct,anzeige04.png,P-GEN-01,stop,1328.0,222.0,136.4,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__qwen3-vl_8b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__qwen3-vl_8b-instruct.json
qwen3-vl:8b-instruct,qwen3-vl:8b-instruct,anzeige05.png,P-GEN-01,stop,2321.0,101.0,217.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__qwen3-vl_8b-instruct.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__qwen3-vl_8b-instruct.json
gemma4:e4b,gemma4:e4b,anzeige01.png,P-GEN-01,stop,297.0,135.0,61.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__gemma4_e4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__gemma4_e4b.json
gemma4:e4b,gemma4:e4b,anzeige02.png,P-GEN-01,stop,309.0,178.0,32.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__gemma4_e4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__gemma4_e4b.json
gemma4:e4b,gemma4:e4b,anzeige03.png,P-GEN-01,stop,289.0,178.0,30.9,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__gemma4_e4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__gemma4_e4b.json
gemma4:e4b,gemma4:e4b,anzeige04.png,P-GEN-01,stop,307.0,215.0,35.6,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__gemma4_e4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__gemma4_e4b.json
gemma4:e4b,gemma4:e4b,anzeige05.png,P-GEN-01,stop,303.0,81.0,21.6,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__gemma4_e4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__gemma4_e4b.json
qwen3.5:4b,qwen3.5:4b,anzeige01.png,P-GEN-01,stop,2560.0,132.0,163.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__qwen3.5_4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__qwen3.5_4b.json
qwen3.5:4b,qwen3.5:4b,anzeige02.png,P-GEN-01,stop,1195.0,185.0,70.7,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__qwen3.5_4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__qwen3.5_4b.json
qwen3.5:4b,qwen3.5:4b,anzeige03.png,P-GEN-01,stop,1352.0,172.0,77.6,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__qwen3.5_4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__qwen3.5_4b.json
qwen3.5:4b,qwen3.5:4b,anzeige04.png,P-GEN-01,stop,1327.0,203.0,79.5,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__qwen3.5_4b.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__qwen3.5_4b.json
