provider,model,role,image,run_index,prompt_id,prompt_sha256,image_sha256,params_json,timestamp_utc,model_reported,done_reason,done_reason_raw,prompt_eval_count,eval_count,thinking_tokens,seconds,output_path,raw_path,error
provider,model,role,image,run_index,prompt_id,prompt_sha256,image_sha256,params_json,timestamp_utc,model_reported,done_reason,done_reason_raw,prompt_eval_count,eval_count,thinking_tokens,seconds,output_path,raw_path,error
anthropic,claude-opus-5,Frontier-Obergrenze A,anzeige01.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,10f886762ca5a277ea205c1d2a532b35610078c96c86ea920481e3e0a9dbb63f,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:28:30+00:00,claude-opus-5,stop,end_turn,3516.0,220.0,0.0,8.5,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__anthropic_claude-opus-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__anthropic_claude-opus-5.json,
anthropic,claude-opus-5,Frontier-Obergrenze A,anzeige02.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,f967795f65d5fe7b3e2f768fcfa4451fd78e0d4b004204afa2d98825162ae968,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:28:39+00:00,claude-opus-5,stop,end_turn,1757.0,321.0,0.0,7.5,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__anthropic_claude-opus-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__anthropic_claude-opus-5.json,
anthropic,claude-opus-5,Frontier-Obergrenze A,anzeige03.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,0f40d9be63c2a9fea1a56f222056a426fe51170477686ccc0911a2f2aa7d0400,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:28:46+00:00,claude-opus-5,stop,end_turn,1897.0,295.0,0.0,7.8,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__anthropic_claude-opus-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__anthropic_claude-opus-5.json,
anthropic,claude-opus-5,Frontier-Obergrenze A,anzeige04.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,6739f20ce8fe34e41b1b20344234c79a040edb6037f7a1482dfc89e961e7b769,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:28:54+00:00,claude-opus-5,stop,end_turn,1868.0,363.0,0.0,9.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__anthropic_claude-opus-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__anthropic_claude-opus-5.json,
anthropic,claude-opus-5,Frontier-Obergrenze A,anzeige05.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,8909ad06da3878e0ec189085bf8041dad4533018671e757c66b20278dc75ccf2,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:29:03+00:00,claude-opus-5,stop,end_turn,3194.0,148.0,0.0,5.7,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__anthropic_claude-opus-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__anthropic_claude-opus-5.json,
anthropic,claude-sonnet-5,"Tier-Kontrast zu A, gleiche Generation",anzeige01.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,10f886762ca5a277ea205c1d2a532b35610078c96c86ea920481e3e0a9dbb63f,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:29:09+00:00,claude-sonnet-5,stop,end_turn,3516.0,231.0,0.0,7.2,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__anthropic_claude-sonnet-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__anthropic_claude-sonnet-5.json,
anthropic,claude-sonnet-5,"Tier-Kontrast zu A, gleiche Generation",anzeige02.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,f967795f65d5fe7b3e2f768fcfa4451fd78e0d4b004204afa2d98825162ae968,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:29:16+00:00,claude-sonnet-5,stop,end_turn,1757.0,321.0,0.0,7.0,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__anthropic_claude-sonnet-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__anthropic_claude-sonnet-5.json,
anthropic,claude-sonnet-5,"Tier-Kontrast zu A, gleiche Generation",anzeige03.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,0f40d9be63c2a9fea1a56f222056a426fe51170477686ccc0911a2f2aa7d0400,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:29:23+00:00,claude-sonnet-5,stop,end_turn,1897.0,298.0,0.0,6.1,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__anthropic_claude-sonnet-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__anthropic_claude-sonnet-5.json,
anthropic,claude-sonnet-5,"Tier-Kontrast zu A, gleiche Generation",anzeige04.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,6739f20ce8fe34e41b1b20344234c79a040edb6037f7a1482dfc89e961e7b769,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:29:29+00:00,claude-sonnet-5,stop,end_turn,1868.0,363.0,0.0,8.1,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige04__anthropic_claude-sonnet-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige04__anthropic_claude-sonnet-5.json,
anthropic,claude-sonnet-5,"Tier-Kontrast zu A, gleiche Generation",anzeige05.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,8909ad06da3878e0ec189085bf8041dad4533018671e757c66b20278dc75ccf2,"{""max_tokens"": 4096, ""output_config"": {""effort"": ""high""}, ""thinking"": {""type"": ""disabled""}}",2026-08-12T11:29:37+00:00,claude-sonnet-5,stop,end_turn,3194.0,147.0,0.0,5.8,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige05__anthropic_claude-sonnet-5.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige05__anthropic_claude-sonnet-5.json,
openai,gpt-5.6-sol,Frontier-Obergrenze B,anzeige01.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,10f886762ca5a277ea205c1d2a532b35610078c96c86ea920481e3e0a9dbb63f,"{""max_output_tokens"": 4096, ""reasoning_effort"": ""none""}",2026-08-12T11:29:43+00:00,gpt-5.6-sol,stop,completed,3256.0,140.0,0.0,7.5,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige01__openai_gpt-5-6-sol.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige01__openai_gpt-5-6-sol.json,
openai,gpt-5.6-sol,Frontier-Obergrenze B,anzeige02.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,f967795f65d5fe7b3e2f768fcfa4451fd78e0d4b004204afa2d98825162ae968,"{""max_output_tokens"": 4096, ""reasoning_effort"": ""none""}",2026-08-12T11:29:51+00:00,gpt-5.6-sol,stop,completed,1576.0,176.0,0.0,7.5,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige02__openai_gpt-5-6-sol.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige02__openai_gpt-5-6-sol.json,
openai,gpt-5.6-sol,Frontier-Obergrenze B,anzeige03.png,0,P-GEN-02,283fc2681534ce19cc54ec2fdab5384ccc77ee2dc6011e7e69fa43acf3a45af3,0f40d9be63c2a9fea1a56f222056a426fe51170477686ccc0911a2f2aa7d0400,"{""max_output_tokens"": 4096, ""reasoning_effort"": ""none""}",2026-08-12T11:29:58+00:00,gpt-5.6-sol,stop,completed,1682.0,167.0,0.0,6.6,/home/tzuru/Projects/CL-Methoden/output/transcriptions/anzeige03__openai_gpt-5-6-sol.txt,/home/tzuru/Projects/CL-Methoden/output/raw/anzeige03__openai_gpt-5-6-sol.json,
