image,model,gold,hypothese,art,zeichen_ops,typ,bemerkung
test,deepseek-ocr_3b,Müllereimaschinen,Müllereimaßhinen,Substitution,s->ß c->∅,,
test,deepseek-ocr_3b,Maschinenfabrik,Maßhinensfabrik,Substitution,s->ß c->∅ ∅->s,,
test,deepseek-ocr_3b,Dresden,Dres den,Substitution,∅-> ,,
test,deepseek-ocr_3b,Königsberg,Königseberg,Substitution,∅->e,,
test,deepseek-ocr_3b,Kowno,Anomo,Substitution,∅->A K->n w->m n->∅,,
test,deepseek-ocr_3b,g-vė,g-vé,Substitution,ė->é,,
test,gemma4_e4b,Mühlen-Neu- und,Mühlen-Neu-und,Substitution, ->∅,,
test,gemma4_e4b,Königsberg i. Pr.,,Loeschung,geloescht: Königsberg i. Pr.,,
test,gemma4_e4b,Kowno,Rowno,Substitution,K->R,,
test,gemma4_e4b,Telephon,Telefon,Substitution,p->f h->∅,,
test,gemma4_e4b,:—:,::,Substitution,—->∅,,
test,gemma4_e4b,g-vė,g-vé,Substitution,ė->é,,
test,glm-ocr_latest,Bedarfsartikel Mühlen-Neu-,Bedarfssartikel Mühlen - Neu-,Substitution,∅->s ∅->  ∅-> ,,
test,glm-ocr_latest,Müllereimaschinen,Müllereimachinen,Substitution,s->∅,,
test,glm-ocr_latest,Vertreter,Verfreter,Substitution,t->f,,
test,glm-ocr_latest,Maschinenfabrik,Machinenfabrik,Substitution,s->∅,,
test,glm-ocr_latest,g-vė,g-vé,Substitution,ė->é,,
test,maternion_lightonocr-2_1b,Müllereimaschinen,Müllereimachines,Substitution,s->∅ n->s,,
test,maternion_lightonocr-2_1b,Telephon,Telefon,Substitution,p->f h->∅,,
test,maternion_lightonocr-2_1b,g-vė,g-vé,Substitution,ė->é,,
test,qwen3-vl_2b,Müllereimaschinen,Müllerreimachinen,Substitution,∅->r s->∅,,
test,qwen3-vl_2b,Vertreter,Vertreteter,Substitution,∅->t ∅->e,,
test,qwen3-vl_2b,Kowno,Kornno,Substitution,∅->r w->n,,
test,qwen3-vl_2b,Telephon,Telefon,Substitution,p->f h->∅,,
test,qwen3-vl_2b,g-vė,g-vé,Substitution,ė->é,,
test,qwen3-vl_4b,Mühlen-Neu-,Mühlen - Neu-,Substitution,∅->  ∅-> ,,
test,qwen3-vl_4b,Müllereimaschinen,Müllereimmaschinen,Substitution,∅->m,,
test,qwen3-vl_4b,Telephon,Telefon,Substitution,p->f h->∅,,
test,qwen3-vl_4b,g-vė,g-vé,Substitution,ė->é,,
